"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)",
"1600000US2707966","Brooklyn Park city, Minnesota","70214","5836",
"1600000US2717000","Duluth city, Minnesota","49050","3977",
"1600000US2717288","Eagan city, Minnesota","90198","8179",
"1600000US2735180","Lakeville city, Minnesota","110652","10851",
"1600000US2740166","Maple Grove city, Minnesota","102380","11384",
"1600000US2743000","Minneapolis city, Minnesota","63590","3114",
"1600000US2751730","Plymouth city, Minnesota","106017","13397",
"1600000US2754880","Rochester city, Minnesota","70094","4386",
"1600000US2756896","St. Cloud city, Minnesota","49080","6095",
"1600000US2758000","St. Paul city, Minnesota","59033","3389",
"1600000US2771428","Woodbury city, Minnesota","103547","12469",
"1600000US2829700","Gulfport city, Mississippi","37330","7719",
"1600000US2836000","Jackson city, Mississippi","41150","4587",
"1600000US2915670","Columbia city, Missouri","51163","2496",
"1600000US2935000","Independence city, Missouri","55323","5653",
"1600000US2938000","Kansas City city, Missouri","54372","2269",
"1600000US2941348","Lee's Summit city, Missouri","85183","7006",
"1600000US2954074","O'Fallon city, Missouri","90542","8675",
"1600000US2964082","St. Charles city, Missouri","63634","5656",
"1600000US2964550","St. Joseph city, Missouri","51347","5258",
"1600000US2965000","St. Louis city, Missouri","43889","2305",
"1600000US2970000","Springfield city, Missouri","33879","3058",
"1600000US3006550","Billings city, Montana","57692","5707",
"1600000US3050200","Missoula city, Montana","53375","6354",
"1600000US3128000","Lincoln city, Nebraska","55388","2234",
"1600000US3137000","Omaha city, Nebraska","59266","2012",
"1600000US3223770","Enterprise CDP, Nevada","81778","4738",
"1600000US3231900","Henderson city, Nevada","72884","4181",
"1600000US3240000","Las Vegas city, Nevada","53575","2746",
"1600000US3251800","North Las Vegas city, Nevada","55470","4334",
"1600000US3254600","Paradise CDP, Nevada","45744","2778",
"1600000US3260600","Reno city, Nevada","56087","1280",
"1600000US3268400","Sparks city, Nevada","68215","5141",
"1600000US3268585","Spring Valley CDP, Nevada","57398","2629",
"1600000US3271400","Sunrise Manor CDP, Nevada","41342","2361",
"1600000US3345140","Manchester city, New Hampshire","60232","3746",
"1600000US3350260","Nashua city, New Hampshire","75838","5253",
"1600000US3403580","Bayonne city, New Jersey","65951","11394",
"1600000US3410000","Camden city, New Jersey","25928","4092",
"1600000US3413690","Clifton city, New Jersey","77397","6499",
"1600000US3419390","East Orange city, New Jersey","47512","4223",
"1600000US3421000","Elizabeth city, New Jersey","49411","4398",
"1600000US3436000","Jersey City city, New Jersey","72561","5643",
"1600000US3451000","Newark city, New Jersey","37642","3434",
"1600000US3456550","Passaic city, New Jersey","52156","9015",
"1600000US3457000","Paterson city, New Jersey","49367","3211",
"1600000US3473110","Toms River CDP, New Jersey","78700","5659",
"1600000US3474000","Trenton city, New Jersey","35745","4360",
"1600000US3474630","Union City city, New Jersey","51319","3162",
